booking_id;user_id;book_id;starttime;endtime
4353;665;2443;2017-10-15;2018-01-03
828;680;4183;2017-10-15;2018-01-08
723;1139;5329;2017-10-15;2017-11-29
1517;1276;6456;2017-10-15;2017-11-27
4607;771;1494;2017-10-16;2017-11-17
4699;651;3736;2017-10-16;2018-01-04
25;50;5405;2017-10-17;2017-10-24
1133;556;5796;2017-10-17;2017-12-30
132;548;1510;2017-10-18;2018-01-06
953;1532;2055;2017-10-18;2018-01-10
3837;1383;3410;2017-10-18;2017-12-10
4301;1700;4201;2017-10-18;2017-11-28
1620;1371;649;2017-10-20;2017-11-02
117;1134;1614;2017-10-20;2018-01-22
2021;1430;1703;2017-10-20;2018-01-16
3549;573;2594;2017-10-20;2017-11-17
347;1260;6312;2017-10-20;2017-11-25
1972;1219;4059;2017-10-21;2017-10-22
3461;1143;3332;2017-10-22;2017-11-09
2861;106;3478;2017-10-22;2017-12-10
3323;936;5898;2017-10-23;2017-11-15
1670;9;5932;2017-10-23;2017-10-31
4431;1195;1915;2017-10-24;2018-01-15
2764;735;1792;2017-10-25;2018-01-10
3403;396;2402;2017-10-25;2017-11-08
4932;1966;3723;2017-10-25;2017-11-11
4751;890;3746;2017-10-25;2017-12-07
3186;92;2035;2017-10-26;2017-11-18
3855;574;4945;2017-10-26;2018-01-23
2118;643;816;2017-10-27;2017-12-10
496;592;1221;2017-10-27;2017-11-17
2114;86;1362;2017-10-27;2017-12-06
2904;856;1967;2017-10-27;2018-01-21
134;39;3199;2017-10-27;2017-11-22
1439;764;3236;2017-10-27;2017-12-05
3405;302;3303;2017-10-27;2017-11-09
622;1872;3476;2017-10-27;2017-11-08
4079;1786;4319;2017-10-27;2018-01-30
1000;1808;1167;2017-10-28;2017-12-23
2793;130;2346;2017-10-28;2017-11-08
465;864;4783;2017-10-28;2017-12-19
2253;391;2167;2017-10-29;2017-11-16
4593;495;1250;2017-10-30;2018-01-03
3529;664;2198;2017-10-30;2018-01-24
1850;967;2517;2017-10-30;2017-12-24
882;1890;3035;2017-10-30;2017-11-24
4487;79;4728;2017-10-30;2017-11-22
302;549;5754;2017-10-30;2018-02-03
1363;187;1518;2017-10-31;2017-11-07
2624;2000;3432;2017-10-31;2018-01-02
4250;1078;3959;2017-10-31;2017-11-02
1511;1628;4902;2017-10-31;2017-12-25
904;1967;6439;2017-10-31;2018-01-26
3985;870;6511;2017-10-31;2017-11-21
4335;521;3063;2017-11-01;2018-01-02
3370;1420;4452;2017-11-01;2017-11-11
2541;412;3800;2017-11-02;2018-02-09
1664;612;6399;2017-11-02;2018-01-31
1565;68;1233;2017-11-03;2017-11-30
930;660;4888;2017-11-03;2017-12-28
1297;507;2867;2017-11-04;2018-01-14
99;1903;3351;2017-11-04;2017-12-31
1401;1305;4120;2017-11-04;2017-12-28
4423;781;6153;2017-11-04;2017-12-10
3031;494;784;2017-11-05;2017-12-16
874;129;3450;2017-11-06;2017-11-14
4299;823;6521;2017-11-06;2018-01-10
1811;783;3022;2017-11-07;2018-01-06
1100;1184;479;2017-11-08;2018-02-01
2827;141;4025;2017-11-08;2017-11-15
3017;924;6027;2017-11-08;2018-01-27
388;6;708;2017-11-09;2017-12-28
383;1432;848;2017-11-09;2018-02-09
2025;983;1457;2017-11-09;2017-12-06
3338;856;3949;2017-11-09;2017-12-29
360;1978;878;2017-11-10;2018-01-04
3723;783;1674;2017-11-10;2017-12-21
3263;1360;3970;2017-11-10;2017-11-19
4945;1048;5416;2017-11-10;2017-11-12
1451;1979;5784;2017-11-10;2018-02-01
2416;852;5880;2017-11-10;2018-02-16
3387;841;857;2017-11-11;2018-01-22
3701;1512;647;2017-11-12;2018-01-22
3608;1077;1667;2017-11-12;2017-12-20
1922;263;6424;2017-11-12;2017-12-17
2980;460;6551;2017-11-12;2018-02-10
4526;1172;5064;2017-11-13;2018-01-22
899;1867;162;2017-11-14;2017-11-21
2582;1596;727;2017-11-14;2017-11-25
2136;824;3687;2017-11-14;2018-01-11
2728;1599;5320;2017-11-14;2017-12-03
3588;14;5572;2017-11-14;2018-02-14
4605;1871;5700;2017-11-14;2017-12-08
4636;358;3563;2017-11-15;2017-12-15
4112;1720;4578;2017-11-15;2018-01-09
1410;1806;6767;2017-11-15;2017-11-20
2929;1943;2833;2017-11-16;2018-01-09
3728;210;6167;2017-11-16;2018-01-01
1150;1252;310;2017-11-17;2018-01-02
282;208;3499;2017-11-17;2017-12-12
2555;749;3670;2017-11-17;2018-01-06
514;1272;3912;2017-11-17;2017-12-22
334;1523;4820;2017-11-17;2017-11-27
1610;1452;6741;2017-11-17;2018-01-05
1044;1863;60;2017-11-18;2018-01-19
292;569;6494;2017-11-18;2018-01-20
3390;211;2667;2017-11-19;2018-01-07
1734;575;2916;2017-11-19;2018-01-12
4231;1916;3404;2017-11-19;2018-01-17
1655;762;4009;2017-11-19;2018-01-09
1176;1622;4175;2017-11-19;2017-11-30
438;786;4721;2017-11-19;2017-12-06
2627;1967;5953;2017-11-19;2018-01-13
3378;1397;2065;2017-11-20;2018-02-10
848;1806;3094;2017-11-20;2018-02-01
1393;1047;4401;2017-11-20;2018-02-19
2181;1915;4574;2017-11-20;2018-01-11
4412;1366;6100;2017-11-20;2017-12-09
2612;212;2565;2017-11-21;2018-02-13
1941;430;3111;2017-11-21;2018-01-08
4202;416;4386;2017-11-21;2017-11-30
4458;793;5446;2017-11-21;2017-12-13
3797;716;908;2017-11-22;2017-12-03
1514;1894;5114;2017-11-22;2017-12-08
3655;1526;6496;2017-11-22;2018-01-26
564;108;784;2017-11-23;2018-01-10
1512;1607;2761;2017-11-23;2017-12-28
4609;806;3481;2017-11-23;2017-12-02
301;1313;3532;2017-11-23;2018-01-22
3147;1396;4131;2017-11-23;2018-01-02
2869;1845;4134;2017-11-23;2018-02-27
576;1416;6025;2017-11-23;2018-01-29
582;291;5172;2017-11-25;2017-12-26
451;1612;293;2017-11-26;2018-02-25
3702;1832;1567;2017-11-26;2018-02-12
3165;1895;2279;2017-11-26;2018-02-28
3364;828;3424;2017-11-26;2017-12-15
4847;1485;3425;2017-11-26;2017-12-05
398;1911;5560;2017-11-26;2017-12-31
4352;568;4176;2017-11-27;2018-02-07
2720;1465;1863;2017-11-28;2018-02-25
3213;824;2130;2017-11-28;2018-02-03
4648;995;5053;2017-11-28;2018-02-06
4027;80;5735;2017-11-28;2018-01-08
1552;510;401;2017-11-29;2018-02-06
578;1312;1319;2017-11-29;2017-12-23
4868;348;2006;2017-11-29;2018-02-27
433;1804;2403;2017-11-29;2018-01-12
1162;1456;2817;2017-11-29;2018-01-16
1134;445;3014;2017-11-30;2018-02-02
4017;574;6479;2017-11-30;2018-02-11
4343;580;6794;2017-11-30;2017-12-08
2995;849;2050;2017-12-01;2018-01-13
2403;450;2500;2017-12-01;2018-01-01
2140;35;3078;2017-12-01;2017-12-03
3034;1314;5565;2017-12-01;2018-01-07
1163;1239;1044;2017-12-02;2018-03-01
4958;303;2247;2017-12-03;2017-12-27
1168;502;2878;2017-12-04;2018-01-31
4081;240;4814;2017-12-04;2018-01-05
2321;870;3478;2017-12-05;2018-03-14
719;866;5503;2017-12-05;2018-02-04
296;1673;2521;2017-12-06;2018-02-18
442;348;5936;2017-12-06;2018-02-03
4413;443;1608;2017-12-07;2017-12-31
1471;616;2466;2017-12-07;2018-01-20
4088;1840;3326;2017-12-07;2017-12-11
2303;71;6293;2017-12-07;2017-12-19
963;615;5924;2017-12-08;2018-01-25
660;48;5968;2017-12-08;2018-03-17
1618;945;4081;2017-12-09;2018-01-07
777;754;5890;2017-12-09;2018-02-08
3810;542;5920;2017-12-09;2018-02-22
370;1787;106;2017-12-10;2018-02-01
2525;808;6510;2017-12-10;2018-02-14
593;364;6252;2017-12-11;2018-02-22
4993;875;6276;2017-12-11;2018-01-31
1918;1279;1016;2017-12-12;2018-01-11
1038;1953;4014;2017-12-12;2017-12-27
2141;816;5624;2017-12-12;2018-02-22
1504;77;3796;2017-12-13;2018-01-02
162;1416;4082;2017-12-13;2017-12-16
1847;772;5499;2017-12-13;2018-02-05
283;875;202;2017-12-14;2018-03-11
3822;1642;5127;2017-12-14;2018-02-18
1190;1799;5534;2017-12-14;2018-02-19
4896;875;5753;2017-12-14;2018-02-11
188;684;6322;2017-12-14;2018-02-28
287;86;6441;2017-12-14;2018-03-17
4049;51;6477;2017-12-14;2018-01-07
1803;552;4531;2017-12-15;2018-03-16
512;669;2228;2017-12-16;2018-03-01
3563;383;3143;2017-12-16;2017-12-20
2860;717;3155;2017-12-16;2018-02-11
4269;368;3386;2017-12-16;2018-02-20
1395;655;5212;2017-12-16;2018-01-05
1819;1149;1150;2017-12-17;2017-12-19
4606;1495;5564;2017-12-17;2018-01-21
3179;627;332;2017-12-18;2018-03-20
4494;450;2716;2017-12-18;2018-03-03
2928;1167;3606;2017-12-18;2018-02-05
4632;1505;4779;2017-12-18;2018-01-23
1192;1777;2374;2017-12-19;2018-01-13
774;323;5415;2017-12-19;2018-01-17
714;1373;6587;2017-12-19;2018-02-23
1129;1928;111;2017-12-20;2018-02-04
1359;1318;5554;2017-12-21;2018-03-26
4224;1511;3806;2017-12-22;2018-03-09
3714;577;4332;2017-12-22;2017-12-25
2197;1818;1916;2017-12-23;2017-12-31
1273;1976;5400;2017-12-23;2018-03-08
2851;1143;6661;2017-12-23;2017-12-29
362;1626;615;2017-12-24;2017-12-31
1981;1772;5008;2017-12-24;2018-01-03
4333;1673;5249;2017-12-25;2018-01-02
1400;775;684;2017-12-26;2017-12-31
4263;1344;4427;2017-12-26;2018-02-12
4121;1185;3172;2017-12-27;2018-01-24
2486;335;3928;2017-12-27;2018-02-05
2349;456;518;2017-12-28;2018-02-23
4187;131;1361;2017-12-28;2018-02-28
176;1695;6154;2017-12-28;2018-01-26
3623;1949;1091;2017-12-29;2018-01-26
1385;1657;2322;2017-12-29;2018-03-07
50;274;4880;2017-12-29;2018-03-17
3071;113;3057;2017-12-30;2018-02-18
1068;470;944;2017-12-31;2018-02-28
3754;1295;552;2018-01-01;2018-04-08
1488;893;2116;2018-01-01;2018-02-10
3950;90;3653;2018-01-01;2018-01-04
3484;1290;4054;2018-01-01;2018-02-12
32;1474;5229;2018-01-01;2018-04-04
3261;1035;5979;2018-01-01;2018-02-22
4784;1182;1236;2018-01-02;2018-03-06
1631;1914;2424;2018-01-02;2018-03-11
1566;453;2768;2018-01-02;2018-03-12
1275;929;125;2018-01-04;2018-03-29
2030;573;3318;2018-01-04;2018-01-24
1440;427;3623;2018-01-04;2018-03-19
207;1508;6351;2018-01-04;2018-03-07
375;1512;6670;2018-01-04;2018-02-14
4594;944;112;2018-01-05;2018-02-22
4849;1220;382;2018-01-05;2018-02-01
1403;1527;473;2018-01-05;2018-01-19
4924;632;1987;2018-01-05;2018-03-27
897;325;5921;2018-01-05;2018-01-18
2746;1368;4705;2018-01-06;2018-02-10
95;473;179;2018-01-07;2018-01-24
3246;243;3543;2018-01-07;2018-02-20
1937;1758;4060;2018-01-07;2018-03-05
2352;1496;6441;2018-01-07;2018-01-22
3596;741;6449;2018-01-07;2018-01-26
739;811;6545;2018-01-07;2018-01-22
2640;1368;506;2018-01-08;2018-02-27
3347;1040;584;2018-01-08;2018-01-18
102;313;5353;2018-01-08;2018-01-24
742;97;6808;2018-01-08;2018-04-03
4090;1449;382;2018-01-09;2018-03-05
4674;513;2540;2018-01-09;2018-03-08
2190;1423;3098;2018-01-09;2018-01-27
1230;704;15;2018-01-10;2018-03-19
1180;1008;1374;2018-01-10;2018-01-13
1732;584;804;2018-01-11;2018-04-14
4320;1298;4144;2018-01-11;2018-03-10
2987;1768;5460;2018-01-11;2018-02-16
2422;327;650;2018-01-12;2018-04-07
4021;478;4775;2018-01-12;2018-04-19
1118;336;5190;2018-01-12;2018-02-02
4848;709;5361;2018-01-12;2018-02-14
2476;238;6500;2018-01-12;2018-01-26
1943;601;1038;2018-01-13;2018-02-18
4705;1641;3150;2018-01-13;2018-03-24
3400;32;3819;2018-01-13;2018-03-20
2500;389;3832;2018-01-13;2018-03-07
2576;1449;3831;2018-01-14;2018-02-25
891;448;4858;2018-01-14;2018-03-23
1261;858;6329;2018-01-14;2018-03-21
1629;1321;1813;2018-01-15;2018-01-29
229;421;1981;2018-01-15;2018-04-07
78;860;5692;2018-01-15;2018-04-16
1292;1316;2458;2018-01-16;2018-01-26
1656;1360;4051;2018-01-16;2018-01-25
4406;1895;4406;2018-01-17;2018-04-25
1704;1611;6714;2018-01-17;2018-04-19
634;1592;871;2018-01-18;2018-03-07
1683;1459;2531;2018-01-18;2018-04-12
734;1065;2623;2018-01-18;2018-02-05
4668;571;3280;2018-01-18;2018-03-11
21;504;4276;2018-01-19;2018-03-12
3649;276;5457;2018-01-19;2018-03-19
549;203;5736;2018-01-19;2018-04-26
3110;842;4240;2018-01-20;2018-02-08
3082;227;5176;2018-01-20;2018-01-26
1598;1001;875;2018-01-21;2018-02-09
4219;979;1388;2018-01-22;2018-03-29
4700;1518;3147;2018-01-22;2018-02-02
4447;671;4098;2018-01-22;2018-02-06
168;115;4158;2018-01-22;2018-02-26
3881;1974;4385;2018-01-22;2018-02-19
1496;1101;530;2018-01-23;2018-02-04
1573;1503;759;2018-01-23;2018-02-28
152;435;5319;2018-01-23;2018-04-10
3093;1063;696;2018-01-24;2018-01-30
523;831;739;2018-01-24;2018-05-02
2184;519;5918;2018-01-24;2018-04-02
1801;1136;6425;2018-01-24;2018-03-15
4829;407;631;2018-01-25;2018-01-29
3279;575;724;2018-01-25;2018-02-11
4551;1274;4864;2018-01-25;2018-03-25
2374;531;1368;2018-01-26;2018-04-14
835;893;2034;2018-01-26;2018-05-06
1367;863;4019;2018-01-27;2018-03-22
3070;1124;4100;2018-01-27;2018-04-24
4258;856;5806;2018-01-28;2018-05-04
3247;1616;5986;2018-01-28;2018-04-20
3033;1221;758;2018-01-29;2018-03-17
2246;1397;2202;2018-01-29;2018-04-20
2616;1780;6601;2018-01-29;2018-04-09
4214;215;983;2018-01-30;2018-02-13
3161;1453;1913;2018-01-30;2018-04-19
2282;55;3993;2018-01-30;2018-05-05
2652;1867;4490;2018-01-30;2018-02-14
1374;1262;4806;2018-02-01;2018-04-11
4798;166;4983;2018-02-01;2018-05-11
2589;1690;969;2018-02-03;2018-03-14
1616;1384;1699;2018-02-03;2018-02-15
2373;674;3801;2018-02-03;2018-04-24
3768;1606;4598;2018-02-03;2018-03-23
1252;206;2635;2018-02-04;2018-03-01
4493;1924;2838;2018-02-04;2018-03-05
3303;1151;5507;2018-02-04;2018-04-10
4560;379;5026;2018-02-06;2018-02-23
1031;1579;5103;2018-02-06;2018-04-16
2;1675;5628;2018-02-06;2018-03-30
4934;102;5691;2018-02-06;2018-03-28
579;1846;6385;2018-02-06;2018-04-20
401;1031;6756;2018-02-06;2018-05-07
814;831;2551;2018-02-07;2018-04-29
1681;293;3232;2018-02-07;2018-05-12
4416;1461;4002;2018-02-07;2018-04-28
4216;267;5550;2018-02-07;2018-04-10
4473;1850;6009;2018-02-07;2018-03-20
2531;1401;6510;2018-02-07;2018-04-16
3557;445;3178;2018-02-08;2018-05-03
4520;208;3587;2018-02-08;2018-03-06
2247;779;3741;2018-02-08;2018-03-20
3497;606;3936;2018-02-08;2018-03-24
1760;202;6654;2018-02-08;2018-05-03
1501;1831;4656;2018-02-09;2018-03-05
472;100;396;2018-02-10;2018-03-10
2094;1339;2422;2018-02-10;2018-02-15
2994;1802;3209;2018-02-10;2018-04-08
4794;209;2538;2018-02-11;2018-02-19
1214;1244;5724;2018-02-11;2018-05-18
241;1009;6049;2018-02-11;2018-02-15
1908;533;194;2018-02-12;2018-04-30
4903;1488;2450;2018-02-12;2018-04-15
1904;966;5506;2018-02-12;2018-03-25
2981;514;6787;2018-02-12;2018-04-28
4604;1757;111;2018-02-13;2018-04-16
2027;768;282;2018-02-13;2018-05-11
1479;329;1808;2018-02-13;2018-02-22
125;589;5544;2018-02-13;2018-02-20
1687;197;5946;2018-02-13;2018-05-22
4969;1554;35;2018-02-14;2018-02-22
3490;650;413;2018-02-14;2018-03-20
3697;1658;3266;2018-02-14;2018-03-27
3328;1349;1352;2018-02-15;2018-03-27
1882;642;2672;2018-02-15;2018-03-08
2043;1444;1983;2018-02-16;2018-05-12
4175;334;2624;2018-02-16;2018-04-23
1746;817;5310;2018-02-16;2018-05-04
3912;1419;6005;2018-02-16;2018-03-22
2459;1658;4129;2018-02-17;2018-03-12
4472;1948;4237;2018-02-18;2018-05-23
4721;474;1166;2018-02-19;2018-03-22
2080;776;105;2018-02-20;2018-04-29
715;775;1675;2018-02-20;2018-05-21
2855;433;2090;2018-02-20;2018-03-07
2119;1703;2179;2018-02-20;2018-03-09
3341;1574;4348;2018-02-20;2018-03-23
4687;226;4697;2018-02-20;2018-05-02
3814;1314;6298;2018-02-20;2018-02-26
3271;949;4909;2018-02-21;2018-03-21
4577;248;4933;2018-02-21;2018-05-14
765;545;5271;2018-02-21;2018-02-22
4910;1449;5844;2018-02-21;2018-04-23
348;1463;3472;2018-02-22;2018-05-06
693;697;5495;2018-02-22;2018-03-28
3793;1532;2127;2018-02-23;2018-05-27
2316;1644;2364;2018-02-23;2018-03-05
1591;113;4511;2018-02-23;2018-06-01
947;951;235;2018-02-24;2018-05-18
724;1699;579;2018-02-24;2018-06-04
2077;1127;613;2018-02-24;2018-03-27
4519;1288;3693;2018-02-24;2018-03-16
716;308;910;2018-02-26;2018-03-21
4255;1553;2062;2018-02-26;2018-05-25
4587;1512;2256;2018-02-26;2018-04-03
4970;695;425;2018-02-27;2018-05-19
3148;538;2758;2018-02-27;2018-03-02
4334;1099;2967;2018-02-27;2018-05-27
4170;870;5305;2018-02-28;2018-04-12
1832;635;1283;2018-03-01;2018-03-09
355;1338;3186;2018-03-01;2018-04-01
3828;1060;5582;2018-03-01;2018-05-22
455;1786;5869;2018-03-01;2018-03-24
4355;1021;6078;2018-03-01;2018-03-11
1869;1615;5716;2018-03-02;2018-03-16
1884;38;945;2018-03-03;2018-04-04
4013;1821;2783;2018-03-03;2018-03-23
2681;300;3843;2018-03-03;2018-03-30
2125;1899;6343;2018-03-03;2018-06-02
3942;258;3191;2018-03-04;2018-06-12
3145;331;1087;2018-03-05;2018-05-11
4986;296;2235;2018-03-05;2018-04-01
3368;743;542;2018-03-06;2018-04-30
2660;425;1993;2018-03-06;2018-03-26
2707;1906;4044;2018-03-07;2018-03-21
431;1499;4562;2018-03-07;2018-04-15
1727;1034;6484;2018-03-07;2018-05-25
4029;1216;2146;2018-03-08;2018-04-30
322;1623;2558;2018-03-09;2018-05-30
3874;924;2661;2018-03-09;2018-04-02
4400;1389;2681;2018-03-09;2018-06-15
3876;181;143;2018-03-10;2018-04-05
2945;1120;4484;2018-03-10;2018-04-19
2517;593;4676;2018-03-10;2018-05-19
4627;1518;5608;2018-03-10;2018-05-09
2220;190;6545;2018-03-10;2018-04-08
2693;189;5903;2018-03-11;2018-06-12
863;1217;5396;2018-03-12;2018-05-13
789;967;2994;2018-03-13;2018-05-16
1742;918;3497;2018-03-13;2018-05-26
211;1753;5214;2018-03-13;2018-03-23
4453;1875;6549;2018-03-13;2018-05-09
886;911;405;2018-03-14;2018-06-07
1740;732;822;2018-03-14;2018-06-12
4102;1963;824;2018-03-14;2018-06-06
632;48;2275;2018-03-14;2018-06-08
3637;1294;4144;2018-03-14;2018-05-23
2051;611;4713;2018-03-14;2018-04-15
2010;61;414;2018-03-15;2018-03-31
4690;1627;514;2018-03-15;2018-03-19
2180;246;4895;2018-03-15;2018-04-02
1773;731;5164;2018-03-15;2018-05-13
420;1114;3889;2018-03-16;2018-04-10
2880;1557;4814;2018-03-16;2018-03-18
3732;133;6776;2018-03-16;2018-06-24
4422;38;1572;2018-03-17;2018-05-14
4511;367;4137;2018-03-17;2018-04-01
675;1330;4759;2018-03-17;2018-05-08
3012;294;5281;2018-03-17;2018-05-12
721;283;409;2018-03-18;2018-05-02
2976;1541;2003;2018-03-18;2018-06-08
756;1017;2101;2018-03-18;2018-03-30
246;469;2184;2018-03-18;2018-04-25
4936;1037;4258;2018-03-18;2018-04-30
2151;1211;499;2018-03-19;2018-03-25
4485;674;686;2018-03-19;2018-05-07
1218;919;2265;2018-03-19;2018-05-10
3686;1314;3060;2018-03-19;2018-06-23
1069;1358;5067;2018-03-19;2018-06-27
4859;351;1639;2018-03-20;2018-03-29
4339;1118;1833;2018-03-20;2018-04-23
4947;1870;3600;2018-03-20;2018-06-15
2857;1376;4439;2018-03-20;2018-04-29
3043;137;1166;2018-03-21;2018-05-28
2629;1839;3095;2018-03-21;2018-04-01
3193;430;3389;2018-03-21;2018-05-29
4507;1760;459;2018-03-22;2018-06-07
4773;1974;4571;2018-03-22;2018-06-10
3524;1673;4678;2018-03-22;2018-06-13
1279;1494;6718;2018-03-22;2018-03-28
4118;788;179;2018-03-23;2018-05-18
2733;1732;1693;2018-03-23;2018-06-30
4019;940;2516;2018-03-23;2018-05-08
4204;596;5615;2018-03-23;2018-05-10
2967;1664;1568;2018-03-24;2018-05-20
2195;592;1605;2018-03-24;2018-04-22
4338;1217;4238;2018-03-24;2018-04-11
548;1658;5561;2018-03-24;2018-04-09
3302;958;5300;2018-03-25;2018-03-26
4077;1103;5458;2018-03-25;2018-03-28
4921;416;289;2018-03-26;2018-06-06
4371;1314;5034;2018-03-26;2018-06-16
2821;351;4393;2018-03-27;2018-06-01
1425;1270;5040;2018-03-27;2018-03-29
1693;500;241;2018-03-30;2018-04-19
2353;689;2156;2018-03-30;2018-04-22
511;1927;4763;2018-03-31;2018-07-07
950;1204;6788;2018-03-31;2018-05-10
1757;977;239;2018-04-01;2018-07-03
1497;973;1652;2018-04-01;2018-05-02
20;1873;6137;2018-04-01;2018-04-18
1879;1658;3991;2018-04-02;2018-05-19
3135;1087;4110;2018-04-02;2018-04-15
2562;623;5436;2018-04-02;2018-05-25
2028;49;5792;2018-04-02;2018-05-13
1015;1434;6363;2018-04-02;2018-04-27
4634;432;6051;2018-04-03;2018-06-03
1895;1229;734;2018-04-04;2018-07-10
4531;485;4536;2018-04-04;2018-05-22
3534;700;6053;2018-04-04;2018-04-16
4920;1511;6435;2018-04-04;2018-06-26
3219;758;1164;2018-04-05;2018-06-26
3221;1711;1340;2018-04-05;2018-05-30
3696;735;1908;2018-04-05;2018-07-03
4864;779;4245;2018-04-05;2018-05-21
636;616;5747;2018-04-05;2018-04-29
3286;850;6713;2018-04-05;2018-05-15
3736;1677;3435;2018-04-06;2018-07-12
2016;147;4713;2018-04-06;2018-06-09
4488;34;4903;2018-04-06;2018-06-04
1280;1370;87;2018-04-07;2018-04-23
760;1967;830;2018-04-07;2018-06-23
4840;161;6005;2018-04-07;2018-04-27
4879;825;1430;2018-04-08;2018-04-23
2413;747;2744;2018-04-08;2018-04-29
4325;1006;3751;2018-04-08;2018-05-17
3415;225;4262;2018-04-08;2018-04-13
2515;232;4568;2018-04-08;2018-06-22
1754;838;1597;2018-04-10;2018-06-01
2926;1292;2803;2018-04-10;2018-06-02
3699;228;3818;2018-04-10;2018-04-16
1870;114;6336;2018-04-10;2018-05-15
456;396;1031;2018-04-12;2018-06-20
1840;617;1535;2018-04-12;2018-06-23
969;1554;322;2018-04-14;2018-06-25
1124;1363;2179;2018-04-14;2018-07-21
4768;1610;4555;2018-04-14;2018-05-15
3116;1449;90;2018-04-15;2018-04-28
4891;1908;1067;2018-04-16;2018-05-29
3056;157;1966;2018-04-16;2018-05-04
1377;427;3209;2018-04-17;2018-04-22
958;323;3554;2018-04-17;2018-06-02
3361;51;4226;2018-04-17;2018-05-12
1283;1582;4804;2018-04-17;2018-05-20
110;1842;5276;2018-04-18;2018-07-23
3253;1874;5333;2018-04-18;2018-07-21
623;537;397;2018-04-19;2018-05-29
3784;688;2002;2018-04-19;2018-07-18
192;1490;3396;2018-04-19;2018-06-08
984;465;5077;2018-04-19;2018-06-21
787;1456;2587;2018-04-20;2018-07-02
3015;849;4288;2018-04-20;2018-06-19
1041;332;5093;2018-04-20;2018-05-13
2619;360;3168;2018-04-21;2018-07-28
169;6;4530;2018-04-22;2018-06-10
3074;1858;5739;2018-04-22;2018-07-28
2129;1998;3124;2018-04-23;2018-07-08
488;1673;3702;2018-04-23;2018-06-04
